ticker,benchmark,last_price,ret_1m,ret_3m,ret_6m,ret_1y,vol_1y,beta_1y,mdd_1y,adv_value_3m,equity_vol_1y,rf_estimate,market_cap,total_debt,cash_and_equiv,net_debt,ebit,ebitda,interest_expense_abs,sales,gross_profit,net_income,total_assets,total_liab,equity,current_ratio,quick_ratio,cash_ratio,debt_to_equity,net_debt_to_ebitda,interest_coverage,gross_margin,ebit_margin,net_margin,roa,roe,fcf,cfo,capex,fcf_to_debt,cfo_to_interest,cfo_to_net_income,revenue_yoy,ebit_yoy,net_income_yoy,altman_z,piotroski_f,turnover_3m,dd_proxy,asset_value,asset_vol
AAPL,^GSPC,226.00999450683594,0.05657951878871992,0.11963234842797221,-0.07837449149503495,0.00518766131701387,0.3201660747586302,1.2802381229287298,-0.3336052208070358,11736874833.554214,0.3201660747586302,0.04115000247955322,3354078740480.0,106629000000.0,29943000000.0,76686000000.0,123216000000.0,134661000000.0,,391035000000.0,180683000000.0,93736000000.0,364980000000.0,308030000000.0,,,,,,0.5694744580836323,,0.4620634981523393,0.31510222870075566,0.23971255769943867,0.25682503150857583,,108807000000.0,118254000000.0,,1.0204259629181556,,1.2615643936161134,0.020219940775141214,0.07799581805933456,-0.033599670086086914,,5.0,0.003499284227261331,11.191957790382384,3460707740480.0,0.3103013329354149
MSFT,^GSPC,505.7200012207031,-0.0002965068059622711,0.11744038057388995,0.2175243544427825,0.20674801449953129,0.24879547689422163,0.9728821432000047,-0.21825696503288805,9798569528.228437,0.24879547689422163,0.04115000247955322,3759102754816.0,60588000000.0,30242000000.0,30346000000.0,126012000000.0,160165000000.0,2385000000.0,281724000000.0,193893000000.0,101832000000.0,619003000000.0,275524000000.0,,,,,,0.189467112040708,52.835220125786165,0.6882374238616519,0.44728883588192697,0.3614601524896707,0.16450970350709124,,71611000000.0,136162000000.0,,1.1819337162474417,,1.3371238903291696,0.1493215623240672,0.1380936038005094,0.15539620586366523,,4.0,0.0026066245504129766,16.96964668090794,3819690754816.0,0.24484907878985643
RELIANCE.NS,^NSEI,1413.0,0.004135980217248703,-0.005716788998312072,0.16544952881803576,-0.04686684942750485,0.21079557973511107,1.2014702579813323,-0.23868495572563397,14736048804.897367,0.21079557973511107,0.04115000247955322,19121422991360.0,3695750000000.0,1065020000000.0,2630730000000.0,1302860000000.0,1834220000000.0,242690000000.0,9646930000000.0,2818680000000.0,696480000000.0,19501210000000.0,9404930000000.0,,,,,,1.4342499809183196,5.368412377930693,0.2921841456297496,0.13505436444547644,0.07219706165588431,0.03571470693356976,,387360000000.0,1787030000000.0,,0.10481228438070757,4.356059867394696,2.5658023202389155,0.07061540578693633,0.0190934334545739,0.0003878140216314043,,4.0,0.0007706564941090336,10.449195586493808,22817172991360.0,0.17665253475311296
